    *******************USE********************
    | If you don't know how to use it.       |
    | You can type 'help'                    |
    ******************************************
    WARN:It's only shown three times
    ----------------HELP----------------
    | spi_read
    | spi_write
    | spi_debug_bus
    | spi_reset_cpu
    | spi_release_cpu
    | spi_ping
    | spi_nop
    | ptest_io
    | ptest_func
    | ptest_cmd
    | help
    ------------------------------------

------------------------- pmm -------------------------
dbg_mod_sel | dbg_sig_sel |     val     | register
0           | 0           | 0x0c020000  | pmm_dbg_bus_io[31:0]
0           | 1           | 0x01fffa36  | pmm_dbg_bus_io[63:32]
0           | 2           | 0x00000783  | pmm_scratch0[31:0]
0           | 3           | 0x00000000  | 32'h0
0           | 4           | 0x00000000  | 32'h0
0           | 5           | 0x00000000  | 32'h0
0           | 6           | 0x00000000  | 32'h0
0           | 7           | 0x00000000  | 32'h0
0           | 8           | 0x0b6a6159  | ana_mon_bus[31:0]
0           | 9           | 0x0e028014  | ana_mon_bus[63:32]
0           | 10          | 0xe0151b84  | ana_mon_bus[95:64]
0           | 11          | 0xc043c9c8  | ana_mon_bus[127:96]
0           | 12          | 0x20220027  | ana_mon_bus[159:128]
0           | 13          | 0x00034b00  | ana_mon_bus[191:160]
0           | 14          | 0x00418201  | ana_mon_bus[215:192],8'h0
0           | 15          | 0x00000000  | 32'h0
------------------------ wifi -------------------------
dbg_mod_sel | dbg_sig_sel |     val     | register
0           | 0           | 0x000bfe7b  | 3'h0, mtx_m_htrans[10:0], mtx_m_hready[10:0], slv_hready[14:8]
0           | 1           | 0x00000100  | mtr_m0_haddr[31:0]
0           | 2           | 0x00000820  | mtx_m1_haddr[31:0]
0           | 3           | 0xebbf3e72  | mtx_m2_haddr[31:0]
0           | 4           | 0x00000824  | mtx_m3_haddr[31:0]
0           | 5           | 0x00000000  | mtx_m4_haddr[31:0]
0           | 6           | 0x00000000  | mtx_m5_haddr[31:0]
0           | 7           | 0x00000000  | mtx_m6_haddr[31:0]
0           | 8           | 0x00000000  | mtx_m7_haddr[31:0]
0           | 9           | 0x79060080  | mtx_m8_haddr[31:0]
0           | 10          | 0x00000000  | mtx_m9_haddr[31:0]
0           | 11          | 0x00000000  | mtx_m10_haddr[31:0]
0           | 12          | 0x0000ffa0  | wifi_top_misc_bus[31:0]
0           | 13          | 0x00001b03  | wifi_clk_test_wrap[31:0]
0           | 14          | 0x1fff0001  | wifi_peri_misc_bus[31:0]
0           | 15          | 0x00180080  | lp_dbg_bus[31:0]
0           | 16          | 0x00000000  | wifi0_dbg_bus[31:0]
0           | 17          | 0x00000000  | wifi0_dbg_bus[63:32]
0           | 18          | 0x00000000  | wifi0_dbg_bus[95:64]
0           | 19          | 0x00000300  | wifi0_dbg_bus[127:96]
0           | 20          | 0x00000000  | wifi0_dbg_bus[159:128]
0           | 21          | 0x00000000  | wifi0_dbg_bus[191:160]
0           | 22          | 0x00000000  | wifi0_dbg_bus[223:192]
0           | 23          | 0x00000000  | wifi0_dbg_bus[255:224]
0           | 24          | 0x00000000  | wifi1_dbg_bus[31:0]
0           | 25          | 0x00000000  | wifi1_dbg_bus[63:32]
0           | 26          | 0x00000000  | wifi1_dbg_bus[95:64]
0           | 27          | 0x00000300  | wifi1_dbg_bus[127:96]
0           | 28          | 0x00000000  | wifi1_dbg_bus[159:128]
0           | 29          | 0x00000000  | wifi1_dbg_bus[191:160]
0           | 30          | 0x00000000  | wifi1_dbg_bus[223:192]
0           | 31          | 0x00000000  | wifi1_dbg_bus[255:224]
0           | 32          | 0x00820104  | wpll_cal_dbg_bus[31:0]
0           | 33          | 0x00000000  | wifi_ana_dbg_bus[31:0]
0           | 34          | 0x00000000  | sys_access_err_all_flag[31:0]
0           | 35          | 0x00000000  | sys_access_err_all_flag[63:32]
0           | 36          | 0x00200000  | ana_mon_bus[31:0]
0           | 37          | 0x07000040  | ana_mon_bus[63:32]
0           | 38          | 0x00000000  | ana_mon_bus[95:64]
0           | 39          | 0xe8700000  | ana_mon_bus[127:96]
0           | 40          | 0x03400420  | ana_mon_bus[159:128]
